"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",2,"Medium",1,1275,808
"HP",2,"Medium",2,662,527
"HP",3,"Medium",0,796,772
"HP",2,"Medium",2,696,535
"MSI",3,"Large",4,1092,535
"HP",6,"Large",2,1084,670
"HP",1,"Large",3,1204,620
"MSI",1,"Medium",2,1183,696
"MSI",2,"Small",4,1225,417
"HP",0,"Medium",2,565,458
"Apple",3,"Medium",1,801,747
"HP",2,"Medium",1,1083,783
"MSI",0,"Medium",2,967,626
"HP",1,"Medium",2,999,605
"HP",2,"Medium",2,1253,682
"MSI",5,"Medium",2,1102,671
"HP",1,"Large",4,801,366
"HP",0,"Medium",2,1187,669
"HP",2,"Medium",0,977,792
"MSI",1,"Medium",2,1046,707
"MSI",2,"Medium",1,1107,822
"HP",2,"Large",5,756,288
"HP",2,"Medium",2,1059,656
"MSI",2,"Medium",2,834,606
"HP",0,"Large",1,1267,823
"HP",3,"Large",2,660,518
"HP",2,"Medium",2,1268,711
"MSI",0,"Medium",3,1089,575
"HP",0,"Large",2,936,657
"MSI",1,"Large",0,873,899
"HP",3,"Medium",1,773,662
"HP",5,"Large",1,956,751
"MSI",1,"Small",4,958,379
"HP",1,"Medium",3,1115,549
"HP",2,"Small",1,1287,710
"HP",2,"Large",2,1095,719
"Apple",0,"Medium",3,912,539
"HP",2,"Medium",2,1380,747
"HP",4,"Small",3,1273,456
"HP",1,"Medium",1,1208,822
"MSI",3,"Large",1,1143,842
"MSI",2,"Medium",2,1050,676
"MSI",3,"Small",0,1017,785
"MSI",1,"Medium",1,1074,731
"MSI",0,"Large",1,951,810
"Apple",0,"Large",2,1154,763
"MSI",3,"Small",1,989,582
"HP",4,"Small",1,906,610
"MSI",4,"Medium",3,808,487
"HP",4,"Medium",3,1132,516
"MSI",2,"Medium",1,844,745
"Apple",0,"Medium",1,1072,825
"HP",2,"Medium",2,835,526
"HP",4,"Medium",1,909,606
"HP",3,"Medium",2,899,554
"HP",2,"Large",0,986,879
"MSI",1,"Large",1,1111,810
"Apple",1,"Medium",3,720,498
"HP",3,"Medium",2,756,501
"HP",3,"Medium",1,942,717
"HP",3,"Large",0,933,830
"MSI",0,"Medium",2,1208,745
"MSI",6,"Large",0,855,855
"MSI",1,"Medium",2,1085,723
"MSI",2,"Medium",1,1211,848
"HP",0,"Medium",4,1170,477
"HP",1,"Large",1,1152,827
"HP",3,"Large",2,977,594
"MSI",3,"Medium",2,1168,644
"MSI",2,"Large",1,850,717
"HP",1,"Medium",3,1126,592
"MSI",0,"Large",4,736,398
"HP",1,"Medium",5,826,242
"HP",4,"Large",3,850,495
"MSI",2,"Large",2,1181,777
"HP",2,"Medium",3,1264,587
"MSI",2,"Large",6,1212,348
"HP",2,"Medium",1,884,647
"HP",3,"Large",2,958,629
"MSI",1,"Small",3,1143,503
"MSI",3,"Small",2,1080,542
"HP",1,"Medium",3,1125,564
"HP",3,"Medium",0,1160,868
"HP",4,"Medium",1,1088,709
"HP",4,"Large",1,1118,792
"HP",1,"Medium",2,601,471
"HP",2,"Medium",1,805,607
"MSI",3,"Medium",4,754,399
"MSI",2,"Large",1,1011,770
"HP",1,"Large",1,813,680
"MSI",3,"Large",2,1132,783
"MSI",0,"Medium",1,987,763
"HP",1,"Large",1,778,711
"HP",1,"Large",1,1145,826
"HP",1,"Medium",3,1185,541
"MSI",4,"Medium",2,986,646
"HP",0,"Medium",3,1191,584
"MSI",4,"Medium",1,812,711
"HP",0,"Large",1,1269,839
"HP",1,"Medium",5,1066,319
"MSI",3,"Small",0,1128,804
"HP",3,"Medium",2,944,598
"HP",2,"Large",0,802,786
"MSI",3,"Medium",2,1116,701
"HP",5,"Medium",0,461,658
"MSI",1,"Medium",3,764,504
"HP",2,"Medium",2,1153,633
"MSI",2,"Large",0,967,903
"HP",4,"Large",0,713,863
"MSI",0,"Large",2,1058,751
"MSI",2,"Medium",1,1194,855
"MSI",3,"Large",1,1260,912
"MSI",3,"Large",1,1025,818
"HP",1,"Large",2,613,532
"MSI",0,"Medium",2,1283,694
"MSI",2,"Large",0,1072,935
"MSI",1,"Medium",0,967,832
"HP",1,"Large",3,870,491
"HP",1,"Medium",1,870,687
"HP",1,"Large",2,763,556
"MSI",2,"Large",1,1143,812
"HP",1,"Large",2,1222,758
"MSI",1,"Medium",1,1075,773
"MSI",1,"Small",5,1011,250
"Apple",3,"Medium",3,655,530
"MSI",2,"Large",2,644,579
"MSI",0,"Medium",4,853,408
"MSI",3,"Small",3,970,371
"MSI",5,"Medium",1,1221,830
"MSI",0,"Medium",4,795,384
"MSI",2,"Large",1,980,822
"HP",1,"Medium",2,911,601
"HP",2,"Small",0,1170,754
"MSI",1,"Large",2,683,640
"HP",0,"Large",2,659,581
"HP",3,"Large",1,1046,721
"MSI",2,"Medium",4,942,378
"Apple",4,"Large",3,761,632
"MSI",3,"Medium",1,1259,834
"HP",3,"Medium",6,785,175
"MSI",1,"Medium",2,1182,674
"MSI",2,"Medium",1,1232,847
"HP",1,"Large",2,992,695
"HP",1,"Medium",2,1208,726
"HP",1,"Small",5,1136,234
"HP",2,"Large",2,1021,649
"MSI",0,"Small",2,944,576
"HP",2,"Medium",0,1355,875
"Apple",4,"Small",2,846,586
"MSI",3,"Large",2,908,663
"Apple",2,"Large",2,937,730
"MSI",2,"Medium",2,884,612
"HP",2,"Small",1,1035,630
"MSI",5,"Large",2,1315,826
"MSI",1,"Small",3,1033,440
"HP",0,"Medium",0,737,719
"MSI",0,"Medium",1,770,679
"HP",2,"Small",0,1380,819
"HP",0,"Medium",4,860,409
"HP",3,"Medium",2,904,552
"HP",5,"Medium",0,1130,849
"HP",2,"Medium",3,1354,542
"MSI",2,"Medium",1,711,705
"HP",0,"Medium",1,701,627
"MSI",3,"Medium",3,1098,517
"MSI",0,"Large",2,933,686
"Apple",4,"Large",2,767,669
"HP",1,"Small",1,1296,737
"HP",2,"Small",1,960,617
"MSI",3,"Medium",3,1102,612
"HP",0,"Medium",0,1013,877
"MSI",2,"Small",3,795,366
"HP",3,"Medium",0,727,724
"MSI",1,"Medium",1,1457,865
"Apple",0,"Small",0,682,707
"MSI",0,"Large",4,525,361
"MSI",4,"Large",1,1084,779
"Apple",1,"Small",3,490,381
"MSI",1,"Medium",4,1165,487
"HP",3,"Medium",2,807,536
"Apple",2,"Medium",0,1245,932
"MSI",2,"Medium",2,1015,726
"HP",2,"Small",0,922,684
"MSI",1,"Medium",3,1087,572
"HP",1,"Small",3,1032,358
"HP",1,"Medium",1,1207,778
"HP",1,"Medium",4,1085,431
"HP",1,"Medium",3,1230,566
"HP",2,"Medium",2,1112,629
"HP",0,"Large",5,1566,473
"MSI",4,"Large",1,1085,766
"HP",4,"Medium",1,810,672
"HP",1,"Small",4,1019,349
"HP",3,"Medium",4,1034,387
"HP",1,"Medium",1,1144,762
"HP",3,"Medium",3,910,498
"MSI",1,"Medium",2,1037,677
"MSI",1,"Medium",2,864,598
"HP",2,"Medium",0,1046,806
"Apple",3,"Large",4,1281,674
"HP",1,"Medium",3,936,461
"MSI",0,"Medium",0,1068,883
"HP",0,"Large",0,1034,852
"HP",3,"Medium",1,911,724
"MSI",4,"Large",0,871,845
"HP",1,"Medium",2,900,611
"HP",0,"Medium",6,1112,249
"HP",3,"Small",2,1041,522
"HP",3,"Medium",2,1122,635
"MSI",4,"Medium",4,850,461
"HP",0,"Small",4,1056,318
"HP",4,"Medium",2,766,561
"HP",1,"Medium",5,1210,342
"HP",5,"Large",2,1115,671
"HP",1,"Small",4,869,245
"HP",1,"Small",5,630,69
"HP",1,"Large",3,930,524
"MSI",2,"Medium",3,1256,620
"MSI",0,"Large",3,1202,670
"MSI",5,"Medium",2,909,676
"MSI",3,"Medium",2,986,642
"HP",1,"Large",4,959,408
"Apple",2,"Medium",2,1559,861
"HP",2,"Large",2,978,643
"MSI",4,"Large",3,756,550
"HP",0,"Large",3,1022,546
"Apple",4,"Large",2,783,731
"Apple",2,"Large",2,875,747
"HP",2,"Medium",0,763,756
"HP",3,"Large",2,1093,683
"MSI",0,"Large",2,1291,778
"HP",3,"Medium",1,982,693
"HP",1,"Medium",2,1443,725
"HP",4,"Medium",4,635,318
"MSI",4,"Medium",0,1331,996
"MSI",4,"Large",0,934,856
"HP",2,"Large",1,867,697
"HP",0,"Medium",3,986,504
"Apple",2,"Medium",0,1079,886
"HP",1,"Small",2,736,471
"MSI",2,"Large",0,1130,912
"Apple",2,"Medium",2,1401,820
"HP",3,"Small",3,1124,432
"MSI",2,"Small",2,1094,547
"HP",4,"Medium",2,1381,690
"HP",2,"Large",2,766,576
"MSI",2,"Large",2,1232,738
"MSI",3,"Medium",2,804,625
"HP",0,"Medium",2,702,481
"HP",2,"Large",0,1234,939
"MSI",2,"Medium",3,670,451
"MSI",1,"Large",2,1088,720
"MSI",5,"Medium",1,846,745
"HP",5,"Medium",1,1170,741
"HP",2,"Large",3,977,518
"HP",3,"Medium",5,1158,370
"HP",3,"Large",1,1146,776
"HP",2,"Small",1,1088,649
"MSI",3,"Medium",1,957,704
"Apple",2,"Medium",0,1102,937
"HP",2,"Large",1,970,780
"MSI",3,"Medium",2,881,609
"MSI",6,"Large",2,842,721
"HP",3,"Medium",1,1086,731
"MSI",2,"Large",1,1174,853
"HP",2,"Medium",1,1189,756
"HP",4,"Medium",1,1131,758
"Apple",2,"Small",2,900,532
"HP",3,"Medium",4,811,345
"MSI",1,"Large",1,652,676
"HP",1,"Medium",5,947,299
"HP",5,"Large",2,999,689
"HP",1,"Medium",3,827,458
"MSI",6,"Medium",3,916,518
"HP",3,"Large",3,998,581
"MSI",3,"Large",0,1067,946
"HP",0,"Medium",1,1082,695
"HP",3,"Medium",1,779,591
"HP",1,"Medium",0,962,766
"HP",2,"Small",0,915,752
"HP",2,"Large",3,969,554
"MSI",4,"Small",1,872,578
"MSI",1,"Medium",2,939,558
"MSI",5,"Medium",1,1077,782
"HP",1,"Small",2,990,511
"HP",1,"Large",2,1060,659
"HP",3,"Large",2,859,633
"HP",2,"Medium",1,979,693
"MSI",3,"Large",0,1046,920
"HP",0,"Medium",2,1285,681
"MSI",1,"Large",5,1161,432
"Apple",3,"Small",1,909,700
"Apple",3,"Large",1,1350,945
"MSI",1,"Medium",4,1031,512
"HP",1,"Large",3,736,521
"Apple",1,"Large",3,1637,840
"MSI",3,"Medium",2,981,629
"HP",3,"Large",2,1124,678
"HP",1,"Large",1,902,756
"MSI",2,"Medium",2,1094,640
"HP",3,"Medium",3,934,466
"MSI",4,"Large",2,1137,772
"MSI",2,"Small",3,1219,483
"Apple",2,"Medium",3,1288,646
"MSI",1,"Large",1,966,822
"MSI",0,"Large",2,1203,727
"HP",1,"Large",1,890,746
"MSI",2,"Large",1,947,783
"HP",2,"Large",1,1117,746
"Apple",2,"Medium",1,1439,894
"HP",3,"Large",2,901,639
"Apple",1,"Large",2,822,674
"MSI",2,"Large",0,1061,910
"HP",2,"Medium",0,1100,820
"Apple",4,"Large",3,606,559
"HP",2,"Medium",2,1259,600
"Apple",1,"Small",0,848,740
"Apple",0,"Large",3,1110,672
"MSI",1,"Medium",5,560,222
"MSI",2,"Small",3,1299,509
"HP",2,"Large",1,1084,834
"MSI",2,"Large",2,1161,746
"MSI",4,"Medium",4,1070,503
"HP",2,"Medium",2,566,452
"HP",3,"Large",1,1165,752
"MSI",2,"Large",5,1258,491
"HP",2,"Small",2,839,455
"HP",0,"Medium",3,861,405
"MSI",2,"Small",0,986,739
"Apple",1,"Medium",4,803,515
"HP",5,"Medium",0,1053,853
"MSI",3,"Medium",1,1017,760
"MSI",0,"Medium",3,1296,618
"HP",2,"Large",1,973,746
"HP",4,"Large",2,1391,722
"HP",1,"Large",2,1061,673
"HP",1,"Large",2,1261,693
"HP",1,"Medium",6,902,201
"HP",4,"Large",1,877,743
"MSI",1,"Medium",1,1094,812
"HP",0,"Medium",1,760,659
"Apple",2,"Medium",1,1124,857
"HP",1,"Small",0,839,626
"Apple",2,"Small",6,826,105
"HP",2,"Large",3,1084,583
"MSI",2,"Large",2,968,675
"HP",2,"Medium",1,716,598
"HP",4,"Large",4,763,387
"HP",1,"Large",2,795,597
"MSI",1,"Medium",4,686,382
"HP",0,"Large",2,1077,639
"MSI",1,"Medium",2,1000,702
"HP",3,"Large",1,938,756
"MSI",0,"Medium",2,1077,658
"Apple",3,"Medium",0,1316,968
"HP",2,"Large",0,781,746
"HP",1,"Medium",2,1364,731
"HP",2,"Medium",0,928,742
"MSI",0,"Small",2,1116,554
"MSI",3,"Medium",1,1218,832
"HP",2,"Medium",4,1154,440
"HP",0,"Medium",4,1239,436
"MSI",6,"Large",5,768,380
"HP",3,"Medium",0,1280,860
"Apple",3,"Medium",4,1043,515
"MSI",4,"Medium",3,929,531
"HP",4,"Medium",2,1023,561
"HP",3,"Small",2,1134,541
"HP",2,"Medium",1,1146,804
